sender_domain,sender_has_numbers,sender_domain_length,receiver_domain,domain_mismatch,subject_length,subject_num_exclamations,subject_num_caps,subject_has_spam_words,body_length,body_num_links,body_num_exclamations,body_has_spam_words,email_hour,email_day_of_week,label
crypt.org,0,9,gmail.com,1,39,0,2,0,2102,0,0,0,15.0,1.0,0
nexicom.net,0,11,ramsaybooks.com,1,49,0,2,0,887,1,0,1,12.0,1.0,0
0166.co.jp,1,10,gvc.ceas-challenge.cc,1,20,0,5,0,3894,24,0,0,15.0,1.0,1
,0,0,gvc.ceas-challenge.cc,1,43,0,1,0,82,1,0,0,1.0,2.0,1
boelzner.com,0,12,gvc.ceas-challenge.cc,1,40,0,1,0,174,0,1,1,4.0,2.0,1
issues.apache.org,0,17,spamassassin.apache.org,1,96,0,9,0,969,1,0,0,15.0,1.0,0
allianz.pt,0,10,gvc.ceas-challenge.cc,1,28,1,1,0,297,1,2,1,2.0,2.0,1
tiscali.it,0,10,gvc.ceas-challenge.cc,1,38,0,1,0,279,0,0,1,0.0,2.0,1
victoriaco.com,1,14,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,8.0,2.0,1
defamer.com,0,11,gvc.ceas-challenge.cc,1,42,0,0,0,438,0,0,0,16.0,1.0,1
gmx.de,0,6,lists.sourceforge.net,1,55,0,1,0,1521,3,0,1,12.0,0.0,0
winnipegfreepress.com,0,21,gvc.ceas-challenge.cc,1,35,0,5,1,778,0,0,1,18.0,1.0,0
hotpop.com,1,10,opensuse.org,1,26,0,3,0,2346,0,0,1,16.0,1.0,0
,0,0,gvc.ceas-challenge.cc,1,31,0,1,0,97,1,0,0,16.0,1.0,1
nbclocal.com,1,12,gvc.ceas-challenge.cc,1,28,0,5,0,3018,0,0,1,13.0,1.0,0
kamis.pl,1,8,gvc.ceas-challenge.cc,1,20,0,5,0,3892,24,0,0,15.0,1.0,1
jasonjones.com,1,14,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,19.0,1.0,1
uwaterloo.ca,0,12,mailman.stanford.edu,1,29,0,7,0,1784,4,0,0,19.0,1.0,0
hotpop.com,1,10,opensuse.org,1,37,0,1,0,799,0,0,1,17.0,1.0,0
hotpop.com,1,10,opensuse.org,1,56,0,6,0,938,0,1,0,17.0,1.0,0
issues.apache.org,0,17,spamassassin.apache.org,1,86,0,10,0,860,1,0,0,15.0,1.0,0
perl.org,0,8,perl.org,0,45,0,5,0,1209,3,0,1,2.0,1.0,0
perl.org,0,8,perl.org,0,71,0,8,0,1764,3,0,0,2.0,1.0,0
mail.democracyinaction.org,0,26,gvc.ceas-challenge.cc,1,81,0,9,0,12338,29,1,1,14.0,1.0,0
perl.org,0,8,perl.org,0,114,0,13,0,2341,3,0,0,2.0,1.0,0
wxs.nl,0,6,gvc.ceas-challenge.cc,1,55,0,1,0,67,0,3,0,8.0,6.0,1
perl.org,0,8,perl.org,0,66,0,9,0,1689,3,0,1,8.0,1.0,0
klenner.at,0,10,python.org',1,34,0,2,0,765,0,0,0,1.0,2.0,0
emdas.com,0,9,gvc.ceas-challenge.cc,1,52,1,1,1,321,1,3,1,21.0,6.0,1
teas.sk,0,7,gvc.ceas-challenge.cc,1,40,1,1,1,214,0,1,1,0.0,2.0,1
gmail.com,1,9,stat.math.ethz.ch,1,49,0,2,0,1126,2,0,0,14.0,1.0,0
cissa-mex.com,0,13,gvc.ceas-challenge.cc,1,18,0,1,0,272,1,2,0,20.0,1.0,1
perl.org,0,8,perl.org,0,86,0,10,0,1470,2,0,1,8.0,1.0,0
kp.org,0,6,gvc.ceas-challenge.cc,1,26,0,1,0,57,0,0,0,21.0,1.0,1
shag.dealerspace.com,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,19.0,1.0,1
boxingvic.org.au,0,16,gvc.ceas-challenge.cc,1,22,0,1,1,319,0,1,0,19.0,2.0,1
freemail.selfip.org,1,19,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,16.0,1.0,1
zamilsteel.com,1,14,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
packbell.net,0,12,gvc.ceas-challenge.cc,1,64,0,3,1,476,0,1,1,21.0,1.0,1
geneontology.org,0,16,gvc.ceas-challenge.cc,1,48,0,4,0,183,1,0,0,19.0,1.0,1
gmail.com,0,9,python.org,1,56,0,7,0,6468,4,3,1,19.0,1.0,0
allawasaya.com,0,14,gvc.ceas-challenge.cc,1,19,0,3,0,163,1,0,0,0.0,2.0,1
good4u.co.uk,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,18.0,1.0,1
cissa-mex.com,0,13,gvc.ceas-challenge.cc,1,30,0,1,0,307,1,2,0,20.0,1.0,1
perl.org,0,8,perl.org,0,73,0,10,0,1174,2,0,0,8.0,1.0,0
allelectricsi.com,0,17,gvc.ceas-challenge.cc,1,20,0,3,0,155,1,0,0,0.0,2.0,1
acc.com,1,7,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,2.0,2.0,1
addone.com,0,10,gvc.ceas-challenge.cc,1,24,0,3,0,150,1,0,0,0.0,2.0,1
aay.com,0,7,gvc.ceas-challenge.cc,1,15,0,3,0,154,1,0,0,0.0,2.0,1
etnet.com,0,9,gvc.ceas-challenge.cc,1,14,0,2,0,276,0,3,0,21.0,1.0,1
fisharerojo.org,0,15,cpan.org,1,40,0,7,0,975,0,0,0,14.0,1.0,0
generali.at,0,11,gvc.ceas-challenge.cc,1,27,0,1,0,258,1,0,0,20.0,1.0,1
1890tees.com,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,7.0,2.0,1
archie.dk,0,9,gvc.ceas-challenge.cc,1,35,0,1,0,290,1,2,1,1.0,2.0,1
,0,0,gvc.ceas-challenge.cc,1,31,0,1,0,104,1,0,0,1.0,2.0,1
massey.ac.nz,0,12,massey.ac.nz,0,46,0,3,0,489,0,0,0,12.0,2.0,0
city.kamloops.bc.ca,0,19,gvc.ceas-challenge.cc,1,16,0,1,0,218,0,1,1,20.0,1.0,1
credittechnologies.com,1,22,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,1.0,2.0,1
perl.org,0,8,netlabs.develooper.com,1,45,0,0,0,4682,0,6,1,1.0,1.0,0
gmail.com,0,9,python.org,1,60,0,8,0,7236,5,6,1,19.0,1.0,0
acm.org,0,7,gmail.com,1,60,0,8,0,868,2,0,0,16.0,1.0,0
152.92.149.210.economy.2iij.net,1,31,gvc.ceas-challenge.cc,1,20,0,5,0,3894,24,0,0,14.0,1.0,1
python.org,0,10,gmail.com,1,60,0,8,0,651,2,0,0,16.0,1.0,0
gmail.com,0,9,acm.org,1,60,0,8,0,1266,3,3,0,19.0,1.0,0
perl.org,0,8,perl.org,0,99,0,19,0,1299,2,0,0,9.0,1.0,0
gmail.com,0,9,lists.sourceforge.net,1,66,0,14,0,1110,0,0,1,18.0,1.0,0
yourvoice.net.nz,1,16,gvc.ceas-challenge.cc,1,80,0,10,0,71,0,0,0,9.0,2.0,0
harmonyinc.com,0,14,gvc.ceas-challenge.cc,1,30,0,4,0,170,1,0,0,17.0,1.0,1
list.scms.waikato.ac.nz,0,23,list.scms.waikato.ac.nz,0,33,0,4,0,13142,11,7,1,18.0,1.0,0
gvc.ceas-challenge.cc,1,21,gvc.ceas-challenge.cc,0,26,0,4,1,789,0,0,1,14.0,1.0,1
themaplegroup.com,1,17,gvc.ceas-challenge.cc,1,7,0,0,0,494,0,1,1,21.0,1.0,1
383project.com,1,14,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,19.0,1.0,1
masterduck.ru,1,13,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,16.0,1.0,1
wi-net.com,1,10,gvc.ceas-challenge.cc,1,54,0,1,1,67,1,0,0,18.0,1.0,1
churchilltrans.com,0,18,gvc.ceas-challenge.cc,1,22,0,2,0,225,0,1,0,21.0,0.0,1
newprofile.org,1,14,gvc.ceas-challenge.cc,1,15,0,0,0,383,0,1,0,21.0,1.0,1
my.trnewsletter.com,0,19,gvc.ceas-challenge.cc,1,48,0,4,0,4246,13,2,1,17.0,1.0,0
diamant-boart.com,1,17,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,5.0,2.0,1
borealispress.com,0,17,gvc.ceas-challenge.cc,1,62,0,1,0,147,0,1,1,1.0,2.0,1
oceanpro.com,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3891,24,0,0,13.0,1.0,1
doctors-hospital.net,0,20,gvc.ceas-challenge.cc,1,33,1,4,0,320,1,1,0,19.0,1.0,1
southbaptistflint.com,1,21,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,18.0,1.0,1
pythoncraft.com,0,15,python.org,1,60,0,8,0,1201,3,0,0,16.0,1.0,0
compaqnet.be,0,12,gvc.ceas-challenge.cc,1,3,0,0,0,430,1,6,1,18.0,1.0,1
givaudan.com,0,12,gvc.ceas-challenge.cc,1,33,0,1,0,302,1,2,0,19.0,1.0,1
cfar.umd.edu,0,12,cs.orst.edu,1,64,0,10,0,535,2,0,0,15.0,1.0,0
verizon.net,0,11,spamassassin.apache.org,1,27,0,0,0,2341,0,1,0,18.0,1.0,0
freemail.selfip.org,1,19,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,8.0,2.0,1
gmail.com,0,9,oucs.ox.ac.uk,1,54,0,6,0,609,4,1,1,0.0,2.0,0
sidney.com,0,10,pobox.com,1,150,0,13,0,682,0,0,0,12.0,2.0,0
gmail.com,0,9,gmail.com,0,38,0,2,0,871,1,1,1,1.0,2.0,0
boost-consulting.com,0,20,python.org,1,54,0,4,0,426,3,1,0,19.0,1.0,0
massey.ac.nz,0,12,massey.ac.nz,0,33,0,2,0,588,0,1,0,12.0,2.0,0
email.landsend.com,0,18,gvc.ceas-challenge.cc,1,37,1,3,0,972,0,2,1,15.0,1.0,0
hotpop.com,1,10,opensuse.org,1,37,0,1,0,608,0,0,1,13.0,1.0,0
bobbittville.com,0,16,gvc.ceas-challenge.cc,1,10,1,1,0,125,0,3,0,20.0,1.0,1
ad-tactics.com,1,14,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,7.0,2.0,1
,0,0,gvc.ceas-challenge.cc,1,39,0,1,0,87,1,0,0,16.0,1.0,1
aaas-alerts.org,0,15,gvc.ceas-challenge.cc,1,50,0,4,0,1963,5,0,0,12.0,1.0,0
,0,0,gvc.ceas-challenge.cc,1,31,0,1,0,67,1,0,0,1.0,2.0,1
7.120.138.210.bf.2iij.net,1,25,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,2.0,2.0,1
afsi.com,0,8,gvc.ceas-challenge.cc,1,32,0,3,0,149,1,0,0,0.0,2.0,1
eforcity.com,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,19.0,1.0,1
aaas-alerts.org,0,15,gvc.ceas-challenge.cc,1,71,0,6,0,12112,2,2,1,12.0,1.0,0
kokomart.com,0,12,gvc.ceas-challenge.cc,1,49,0,4,0,117,1,0,0,18.0,1.0,1
aisan-ind.co.jp,0,15,gvc.ceas-challenge.cc,1,40,0,1,0,93,1,0,0,1.0,2.0,1
btinternet.com,0,14,,1,56,0,10,0,501,3,0,0,2.0,0.0,1
btinternet.com,0,14,,1,56,0,10,0,493,3,0,0,2.0,0.0,1
cbsnews.com,0,11,gvc.ceas-challenge.cc,1,67,1,11,0,238,1,0,0,2.0,2.0,1
4thwayfulfillment.com,1,21,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,13883,1,0,1,23.0,1.0,0
googlegroups.com,0,16,googlegroups.com,0,37,0,0,0,3273,12,0,0,23.0,1.0,0
googlegroups.com,0,16,googlegroups.com,0,39,0,0,0,3198,10,1,1,23.0,1.0,0
catherders.com,0,14,spamassassin.apache.org,1,25,0,1,0,850,0,0,0,18.0,1.0,0
issues.apache.org,0,17,spamassassin.apache.org,1,86,0,10,0,323,1,0,0,15.0,1.0,0
cdmon.com,0,9,,1,51,0,1,0,2392,0,0,0,0.0,2.0,0
pobox.com,0,9,boost-consulting.com,1,58,0,5,0,434,1,0,0,16.0,1.0,0
techrepublic.online.com,0,23,gvc.ceas-challenge.cc,1,66,0,5,0,4514,0,3,1,15.0,1.0,0
gogimagog.com,0,13,gvc.ceas-challenge.cc,1,10,0,1,0,90,1,0,0,2.0,2.0,1
sourceforge.net,0,15,sourceforge.net,0,70,0,2,0,3551,2,0,1,16.0,1.0,0
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,46219,1,15,1,23.0,1.0,0
icqmail.com,0,11,gvc.ceas-challenge.cc,1,39,0,1,0,155,0,1,1,2.0,2.0,1
1up.com,1,7,gvc.ceas-challenge.cc,1,183,3,7,1,469,1,17,1,21.0,1.0,1
outdoornetwork.co.za,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3894,24,0,0,13.0,1.0,1
outdoornetwork.co.za,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3893,24,0,0,13.0,1.0,1
terapath.com,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,0.0,2.0,1
svytejimas.lt,0,13,gvc.ceas-challenge.cc,1,116,0,13,0,88,0,0,0,21.0,1.0,1
tabcom.org,0,10,gvc.ceas-challenge.cc,1,20,0,3,0,92,0,3,0,0.0,2.0,1
issues.apache.org,0,17,spamassassin.apache.org,1,86,0,10,0,1085,2,0,0,15.0,1.0,0
boost-consulting.com,0,20,python.org,1,58,0,5,0,640,3,1,0,19.0,1.0,0
dijkmat.nl,0,10,perl.org,1,29,0,7,0,929,0,0,0,1.0,2.0,0
bblfish.net,0,11,gmail.com,1,54,0,6,0,847,5,2,1,1.0,2.0,0
mx1930.aa04.com,1,15,gvc.ceas-challenge.cc,1,29,1,0,0,1785,0,4,1,12.0,1.0,1
sourceforge.net,0,15,sourceforge.net,0,68,0,2,0,2044,2,0,1,16.0,1.0,0
aaas-alerts.org,0,15,gvc.ceas-challenge.cc,1,39,0,7,0,13529,2,0,1,12.0,1.0,0
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,47712,1,3,1,23.0,1.0,0
gmail.com,0,9,dijkmat.nl,1,33,0,8,0,958,0,0,0,1.0,2.0,0
ronandchrista.com,0,17,gvc.ceas-challenge.cc,1,22,0,1,0,127,1,0,1,1.0,2.0,1
webserver2.shopirish.com,1,24,gvc.ceas-challenge.cc,1,63,1,5,0,3338,5,8,1,18.0,1.0,0
scantron.com,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
elp.com.au,1,10,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,1.0,2.0,1
totemagencies.com,0,17,gvc.ceas-challenge.cc,1,45,0,1,0,398,1,1,0,1.0,2.0,1
snopes.com,0,10,,1,33,1,4,0,308,1,0,0,2.0,2.0,1
travelblog.org,0,14,gvc.ceas-challenge.cc,1,39,1,30,0,249,1,0,0,18.0,1.0,1
computerworld.com,0,17,,1,32,0,6,0,149,1,1,1,2.0,2.0,1
fw35.com,1,8,gvc.ceas-challenge.cc,1,27,0,1,0,173,1,0,0,20.0,1.0,1
brookecapital.com,0,17,gvc.ceas-challenge.cc,1,24,0,1,0,299,0,1,0,3.0,2.0,1
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,51321,1,2,1,23.0,1.0,0
ideasunlimitedusa.com,1,21,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
,0,0,gvc.ceas-challenge.cc,1,34,0,1,1,97,1,0,0,0.0,2.0,1
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,13953,1,0,0,23.0,1.0,0
styriawest.at,1,13,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,8.0,2.0,1
gvc.ceas-challenge.cc,1,21,sidney.com,1,151,0,13,0,815,0,0,0,23.0,1.0,0
hotpop.com,1,10,opensuse.org,1,26,0,3,0,375,0,0,1,11.0,1.0,0
issues.apache.org,0,17,spamassassin.apache.org,1,67,0,14,0,476,1,0,0,15.0,1.0,0
issues.apache.org,0,17,spamassassin.apache.org,1,67,0,14,0,323,1,0,0,15.0,1.0,0
internode.on.net,0,16,lists.sourceforge.net,1,78,0,11,0,2780,2,0,0,10.0,2.0,0
orvisnews.com,0,13,gvc.ceas-challenge.cc,1,19,0,4,0,2807,4,3,1,15.0,1.0,0
yahoogroups.com,0,15,yahoogroups.com,0,36,0,2,0,14598,11,19,1,23.0,1.0,0
autobooster.com,0,15,gvc.ceas-challenge.cc,1,85,0,1,0,173,1,1,0,2.0,2.0,1
volt.com,0,8,gvc.ceas-challenge.cc,1,15,0,2,0,368,0,1,0,21.0,1.0,1
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,36631,1,0,1,23.0,1.0,0
polytechnique.org,0,17,gvc.ceas-challenge.cc,1,22,0,1,0,331,1,2,1,1.0,2.0,1
cardon.com.ar,1,13,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,19.0,1.0,1
30grandpermonth.com,1,19,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,2.0,2.0,1
perl.org,0,8,netlabs.develooper.com,1,70,0,1,0,4463,0,0,1,11.0,1.0,0
mpdadvies.nl,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,6.0,2.0,1
freedomtruckcenters.com,1,23,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,2.0,2.0,1
,0,0,gvc.ceas-challenge.cc,1,30,0,5,0,161,2,0,0,19.0,1.0,1
cesc.co.in,0,10,postfix.org,1,20,0,2,0,3483,0,3,0,5.0,2.0,0
sbc.edu.sg,0,10,gvc.ceas-challenge.cc,1,30,0,1,0,122,1,1,0,2.0,2.0,1
mdocpa.com,1,10,gvc.ceas-challenge.cc,1,30,0,5,0,105,1,0,0,19.0,1.0,1
gmail.com,0,9,gvc.ceas-challenge.cc,1,57,1,1,0,649,2,4,0,14.0,1.0,1
sbc.edu.sg,0,10,gvc.ceas-challenge.cc,1,31,1,3,0,125,1,2,0,2.0,2.0,1
massey.ac.nz,0,12,,1,28,0,9,0,2742,2,0,0,12.0,2.0,0
dice.com,0,8,gvc.ceas-challenge.cc,1,31,0,5,0,8128,0,3,1,16.0,1.0,0
gmail.com,0,9,python.org,1,51,0,6,0,8183,8,3,1,19.0,1.0,0
issues.apache.org,0,17,spamassassin.apache.org,1,86,0,10,0,1654,2,0,0,15.0,1.0,0
lists.clamav.net,0,16,lists.clamav.net,0,36,0,3,0,9651,4,0,1,0.0,2.0,0
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,26295,1,0,1,23.0,1.0,0
gmail.com,0,9,lists.sourceforge.net,1,66,0,11,0,1366,4,4,0,20.0,1.0,0
intertechflooring.com,1,21,gvc.ceas-challenge.cc,1,20,0,5,0,3892,24,0,0,11.0,1.0,1
aaas-alerts.org,0,15,gvc.ceas-challenge.cc,1,78,0,8,0,16932,84,3,1,11.0,1.0,0
,0,0,gvc.ceas-challenge.cc,1,32,0,1,0,110,1,0,0,16.0,1.0,1
lists.tuxonice.net,0,18,lists.tuxonice.net,0,39,0,6,0,1860,1,0,0,23.0,1.0,0
ardee.com,1,9,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
ictraject.nl,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,19.0,1.0,1
decsai.ugr.es,0,13,cs.orst.edu,1,30,0,8,0,4595,2,0,0,15.0,1.0,0
baconthomas.com,1,15,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
meritdirect.com,1,15,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,18.0,1.0,1
art-98.com,1,10,gvc.ceas-challenge.cc,1,20,0,5,0,3893,24,0,0,14.0,1.0,1
teff16.cs.uwaterloo.ca,1,22,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,18.0,1.0,1
famm.org,1,8,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,1.0,2.0,1
issues.apache.org,0,17,spamassassin.apache.org,1,28,0,6,0,1207,4,0,0,15.0,1.0,0
stfrancis.k12.mn.us,1,19,gvc.ceas-challenge.cc,1,35,0,1,0,84,1,0,0,19.0,1.0,1
98-percent-solution.com,1,23,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
jltendero.com,0,13,gvc.ceas-challenge.cc,1,22,0,1,0,200,0,3,0,21.0,1.0,1
gmail.com,0,9,python.org,1,33,0,2,0,1961,4,0,1,19.0,1.0,0
fh-worms.de,0,11,gvc.ceas-challenge.cc,1,21,0,1,0,298,1,2,1,16.0,1.0,1
casablancaresort.com,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,19.0,1.0,1
reflexite.com,1,13,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
gmail.com,0,9,postfix.org,1,14,0,4,0,1514,0,1,1,1.0,2.0,0
adpnow.com,1,10,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,17.0,1.0,1
hetnet.nl,0,9,lists.sourceforge.net,1,105,0,12,0,3148,1,0,0,0.0,2.0,0
art-98.com,1,10,gvc.ceas-challenge.cc,1,20,0,5,0,3892,24,0,0,14.0,1.0,1
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,33228,1,0,1,23.0,1.0,0
tukan.ujat.mx,1,13,gvc.ceas-challenge.cc,1,20,0,5,0,3891,24,0,0,20.0,1.0,1
gscmm.org,1,9,gvc.ceas-challenge.cc,1,20,0,5,0,3894,24,0,0,14.0,1.0,1
google.com,0,10,gmail.com,1,32,0,2,0,2415,5,2,1,15.0,1.0,0
e.harryanddavid.com,0,19,gvc.ceas-challenge.cc,1,54,1,12,1,3948,14,4,1,23.0,1.0,0
internode.on.net,0,16,lists.sourceforge.net,1,104,0,12,0,937,1,0,0,10.0,2.0,0
monitoring.apache.org,0,21,spamassassin.apache.org,1,62,0,14,0,187,0,0,0,23.0,1.0,0
stats.ox.ac.uk,0,14,bbsrc.ac.uk,1,33,0,3,0,4372,8,2,1,19.0,1.0,0
nounoubros.com,1,14,gvc.ceas-challenge.cc,1,20,0,5,0,3895,24,0,0,14.0,1.0,1
gmail.com,0,9,perl.org,1,73,0,2,0,838,0,0,1,1.0,2.0,0
millsupply.ca,1,13,gvc.ceas-challenge.cc,1,20,0,5,0,3895,24,0,0,15.0,1.0,1
nationwide.co.uk,1,16,gvc.ceas-challenge.cc,1,20,0,5,0,3895,24,0,0,14.0,1.0,1
hendersonville-pd.org,1,21,gvc.ceas-challenge.cc,1,20,0,5,0,3895,24,0,0,13.0,1.0,1
clamav.net,0,10,lists.clamav.net,1,37,0,1,0,25011,1,2,1,23.0,1.0,0
aud.ucla.edu,1,12,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,18.0,1.0,1
kr.htnet.hr,0,11,gvc.ceas-challenge.cc,1,25,0,1,0,280,1,2,0,3.0,2.0,1
pristinapine.com,1,16,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,7.0,2.0,1
monitoring.apache.org,0,21,spamassassin.apache.org,1,63,0,15,0,188,0,0,0,23.0,1.0,0
ba-inc.com,1,10,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,20.0,1.0,1
presenttime.com,1,15,gvc.ceas-challenge.cc,1,20,0,5,0,3918,24,0,0,18.0,1.0,1
faercus.com,1,11,gvc.ceas-challenge.cc,1,20,0,5,0,3906,24,0,0,13.0,1.0,1
roszakon.ru,1,11,gvc.ceas-challenge.cc,1,20,0,5,0,3894,24,0,0,20.0,1.0,1
dimaioarchitects.com,1,20,gvc.ceas-challenge.cc,1,20,0,5,0,3895,24,0,0,14.0,2.0,1
